Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1994-08-03,461.45001220703125,461.4599914550781,459.510009765625,460.6499938964844,283840000
1994-08-04,458.3999938964844,461.489990234375,458.3999938964844,461.45001220703125,289150000
1994-08-05,457.0899963378906,458.3399963378906,456.0799865722656,458.3399963378906,230270000
1994-08-08,457.8900146484375,458.29998779296875,457.010009765625,457.0799865722656,217680000
1994-08-09,457.9200134277344,458.1600036621094,456.6600036621094,457.8900146484375,259140000
1994-08-10,460.29998779296875,460.4800109863281,457.9800109863281,457.9800109863281,279500000
1994-08-11,458.8800048828125,461.4100036621094,456.8800048828125,460.30999755859375,275690000
1994-08-12,461.94000244140625,462.2699890136719,458.8800048828125,458.8800048828125,249280000
1994-08-15,461.2300109863281,463.3399963378906,461.2099914550781,461.9700012207031,223210000
1994-08-16,465.010009765625,465.20001220703125,459.8900146484375,461.2200012207031,306640000
1994-08-17,465.1700134277344,465.9100036621094,464.57000732421875,465.1099853515625,309250000
1994-08-18,463.1700134277344,465.1000061035156,462.29998779296875,465.1000061035156,287330000
1994-08-19,463.67999267578125,464.3699951171875,461.80999755859375,463.25,276630000
1994-08-22,462.32000732421875,463.6099853515625,461.4599914550781,463.6099853515625,235870000
1994-08-23,464.510009765625,466.5799865722656,462.3900146484375,462.3900146484375,307240000
1994-08-24,469.0299987792969,469.04998779296875,464.510009765625,464.510009765625,310510000
1994-08-25,468.0799865722656,470.1199951171875,467.6400146484375,469.07000732421875,284230000
1994-08-26,473.79998779296875,474.6499938964844,468.0799865722656,468.0799865722656,305120000
1994-08-29,474.5899963378906,477.1400146484375,473.8900146484375,473.8900146484375,266080000
1994-08-30,476.07000732421875,476.6099853515625,473.55999755859375,474.5899963378906,294520000
1994-08-31,475.489990234375,477.5899963378906,474.42999267578125,476.07000732421875,354650000
1994-09-01,473.1700134277344,475.489990234375,471.739990234375,475.489990234375,282830000
1994-09-02,470.989990234375,474.8900146484375,470.6700134277344,473.20001220703125,216150000
