,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2017-10-10,247572,65347,78873,134874,127989,073732,COCOA - ICE FUTURES U.S.,2045.0,-0.02781009160971354,6885,-1.6506639267141434,-13526,2.1293682756014314,0.015951274998763615,0.03750520038829566,-0.01777137367915471,0.00929095354523235,-0.02969949253825662
2017-10-17,250176,65971,76728,137274,132891,073732,COCOA - ICE FUTURES U.S.,2064.0,-0.017519666155026863,4383,-1.0106150937908973,-10757,1.1184625078764965,0.02702792737771362,0.019404480760201542,0.00929095354523235,0.009689922480620172,-0.031980907008377676
2017-10-24,258702,67515,68218,141291,147065,073732,COCOA - ICE FUTURES U.S.,2084.0,0.022319116203199048,-5774,-4.0599418009721155,-703,4.018770785367102,0.06308521411033584,0.07407189113922186,0.009689922480620172,0.004798464491362786,-0.03402895269370125
2017-10-31,265717,67341,65956,149302,158780,073732,COCOA - ICE FUTURES U.S.,2094.0,0.03566952810697095,-9478,-1.4317631869873444,1385,0.8071062457963216,0.0640284080212411,0.01827497993203148,0.004798464491362786,0.03295128939828085,-0.03592817468568563
2017-11-07,251036,72345,66493,132959,147737,073732,COCOA - ICE FUTURES U.S.,2163.0,0.05886805079749518,-14778,-1.994603280934227,5852,1.6811118596100363,0.09756462507481403,0.03990982295913222,0.03295128939828085,-0.006472491909385147,-0.037452221963304215
2017-11-14,237019,76424,59589,114349,140892,073732,COCOA - ICE FUTURES U.S.,2149.0,0.11198680274577144,-26543,-4.686578817380774,16835,4.37506971111713,0.09972927546906649,0.08074963422614015,-0.006472491909385147,-0.021870637505816637,-0.03741432854233844
2017-11-21,231020,71537,58271,116382,139722,073732,COCOA - ICE FUTURES U.S.,2102.0,0.10103021383430007,-23340,1.3513684556934253,13266,-1.5057864559381315,0.012506637928341611,0.047801368174534696,-0.021870637505816637,-0.026165556612749774,-0.03687083129186141
2017-11-28,234387,69750,56580,117994,140661,073732,COCOA - ICE FUTURES U.S.,2047.0,0.09670758190513978,-22667,0.2913167691108995,13170,-0.04155484373647303,0.009862558233940964,0.027531069421356764,-0.026165556612749774,-0.057645334636052814,-0.035919002746050144
2017-12-05,238986,70823,63057,122308,137495,073732,COCOA - ICE FUTURES U.S.,1929.0,0.06354765551120149,-15187,3.1913032719391436,7766,-2.3055886205292957,0.02879104552295393,0.056393785479533914,-0.057645334636052814,-0.029548989113530322,-0.03564870247682094
2017-12-12,248515,73355,76855,129166,135504,073732,COCOA - ICE FUTURES U.S.,1872.0,0.025503490734965696,-6338,3.702727356414183,-3500,-4.7140836701731486,0.03343408773189255,0.10871446641368751,-0.029548989113530322,0.02136752136752129,-0.03586452926899889
2017-12-19,256443,74994,81393,129827,133726,073732,COCOA - ICE FUTURES U.S.,1912.0,0.01520415842896862,-3899,0.9814296923726938,-6399,-1.1665291833490936,0.00925430558559379,0.039498168006292085,0.02136752136752129,-0.029288702928870314,-0.03553726586698024
2017-12-26,264746,79788,87855,131958,134553,073732,COCOA - ICE FUTURES U.S.,1856.0,0.009801847808843193,-2595,0.5084950651801765,-8067,-0.6504369392028638,0.011098979029008183,0.06714267819115621,-0.029288702928870314,,-0.0353295631454904
