,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HG_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-12-01,180517,66155,100408,82846,45306,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.066499948501587,-0.2079582532393071,37540,0.07733661297858743,-34253,-0.26154812861508386,0.018400024970347713,0.02247197757004857,0.00633066074631583,-0.008952263095975743,-0.14969144973632928
2015-12-08,179248,65812,100004,81927,43773,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0480000972747803,-0.21285593144693385,38154,0.3401341701889573,-34192,0.033791831240271,0.01950676213206046,0.004504993486756405,-0.008952263095975743,0.001464853924971532,-0.15098052079164775
2015-12-15,178761,68029,100662,79212,43369,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0510001182556152,-0.2005079407700785,35843,-1.2892751941444256,-32633,0.8697447112380612,0.025444400029368337,0.01704299577333705,0.001464853924971532,0.022427968183269087,-0.15197106919121636
2015-12-22,170210,63124,93463,79311,43004,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0969998836517334,-0.21330709124023264,36307,0.259564446383719,-30339,1.2832776724229558,0.003793484037117279,0.0772988817717946,0.022427968183269087,0.013352464426229282,-0.1531737362902167
2015-12-29,167689,59955,90061,78884,43214,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.125,-0.21271520493294133,35670,-0.3742435814581987,-30106,0.13688972445802244,0.005217120673557307,0.043801994453924915,0.013352464426229282,-0.017176459817325407,-0.15431876453334603
2016-01-05,171819,63058,94871,79330,42180,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0885000228881836,-0.2162159016173997,37150,0.8825862161501351,-31813,-1.0179558587623518,0.012180067484157682,0.050104793926384644,-0.017176459817325407,-0.06487913428199987,-0.1523705124632443
2016-01-12,193520,68662,110687,88452,40280,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,1.9529999494552612,-0.24892517569243489,48172,6.414890087824979,-42025,-5.9434637612836765,0.08561973712829755,0.11943194553635648,-0.06487913428199987,0.010496704775592614,-0.152033802075205
2016-01-19,199011,68711,112117,92728,43574,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,1.9735000133514404,-0.24699137233620252,49154,0.5074410913600662,-43406,-0.7136213311285655,0.05553843670672477,0.00817904306855133,0.010496704775592614,0.03065614701323205,-0.15122889156158006
2016-01-26,202900,64968,101795,94258,50133,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0339999198913574,-0.21747166091670775,44125,-2.5269959951962453,-36827,3.305847415469497,0.05602149718472758,0.08434125075706242,0.03065614701323205,0.008849619761032823,-0.14976982575288883
2016-02-02,201682,63562,99073,90906,48979,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.052000045776367,-0.20788667307940223,41927,-1.0832922621981271,-35511,0.6485953671759488,0.03221217428602066,0.025381990346481385,0.008849619761032823,-0.00657893513806429,-0.14815466880820718
