,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-08-04,79763,55786,37240,16522,36977,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,958.0,0.2564472249037774,-20455,0.19474196689386564,18546,-0.6790677676753626,0.01577599581300585,0.005772579708898587,-0.03016803822760772,0.03486432611071222,0.38760994902785234
2015-08-11,78884,55015,35472,16239,38274,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,991.4000244140624,0.27933421226104155,-22035,-1.9808683224051251,19543,1.249952985720196,0.028983912094362813,0.028059279233481053,0.03486432611071222,0.0015130118651009994,0.38422633225388947
2015-08-18,78564,55833,33754,15840,40007,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,992.9000244140624,0.3076090830405784,-24167,-2.7027027027027026,22079,3.214847117286142,0.03817573011979157,0.028307678569435297,0.0015130118651009994,-0.01692018170514087,0.38190459742924365
2015-08-25,74149,51798,28507,15671,40556,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,976.0999755859376,0.33560803247515136,-24885,-0.9139045873428033,23291,1.5426913089964869,0.012769665818912621,0.11558433472386527,-0.01692018170514087,0.03227128448711514,0.38054293375412335
2015-09-01,69973,49080,24497,13900,40000,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1007.5999755859376,0.37300101467708974,-26100,-1.6385925636218965,24583,1.7424375244440249,0.04317254174397032,0.09144161898419342,0.03227128448711514,-0.005458515416102205,0.3803274503519224
2015-09-08,70035,49031,23665,13751,40808,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1002.0999755859376,0.38633540372670805,-27057,-1.367670387149329,25366,1.1190030440312693,0.017540644073388442,0.012118961153295917,-0.005458515416102205,-0.0437082016366267,0.38049433794566645
2015-09-15,73784,50833,27801,15047,39098,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,958.2999877929688,0.3259649788572048,-24051,4.292139644463482,23032,-3.332619404583423,0.05551759165204544,0.07551440852557417,-0.0437082016366267,-0.021600764343850942,0.37902057148381607
2015-09-22,79193,54537,31695,15605,40240,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,937.5999755859376,0.31107547384238504,-24635,-0.7914995120893418,22842,-0.25750840290577903,0.030441400304414,0.08811114203543928,-0.021600764343850942,-0.02186433504031271,0.37723254259851524
2015-09-29,75469,52667,32771,15177,36688,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,917.0999755859376,0.28503093985609984,-21511,3.944793100400288,19896,-3.7200257598525117,0.07673768437289116,0.03448114422154076,-0.02186433504031271,0.017337285832881966,0.3748683989384533
2015-10-06,74919,51401,31210,15430,38077,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,933.0,0.3022864693869379,-22647,-1.5052538128238084,20191,0.3908889742808306,0.03068757358850244,0.03422062437205699,0.017337285832881966,0.06270096463022501,0.37305385069966546
