,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,OJ_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-12-22,14182,5443,2025,6178,10946,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,147.39999389648438,0.3362008179382316,-4768,-2.97187686988897,3418,3.9890964696496245,0.03603130109787433,0.08034279592929834,0.0027210469148597483,0.006105896828635604,-0.061587679832233226,0.0016380295259614437
2015-12-29,14241,5589,1989,5941,11214,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,148.3000030517578,0.3702689417877958,-5273,-3.560851783951488,3600,1.2833168805528135,0.02943748178373652,0.024016891000263923,0.006105896828635604,-0.04180712623504357,-0.05328274480107883,0.013641750911577285
2016-01-05,14025,5476,2197,5937,10876,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,142.10000610351562,0.35215686274509805,-4939,2.3453409170704305,3279,-2.254055192753318,0.020341402486171414,0.04183500586472045,-0.04180712623504357,-0.0710767464440365,-0.049829495526876,-0.00170199056967211
2016-01-12,12705,4012,2006,6319,9368,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,132.0,0.23998425816607635,-3049,13.475935828877006,2006,-9.076648841354723,0.12048192771084337,0.275008308408109,-0.0710767464440365,-0.052651492032137925,-0.04764924455456327,-0.026358587596151218
2016-01-19,12068,2763,1795,6995,8507,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,125.0500030517578,0.12529002320185614,-1512,12.097599370326643,968,-8.170011806375442,0.09914849696813315,0.3203159280386134,-0.052651492032137925,-0.006797329730282242,-0.04902756653999022,-0.04067342948434241
2016-01-26,12835,2771,2673,7907,8473,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,124.1999969482422,0.04409816906895209,-566,7.838912827311899,98,-7.209148160424263,0.057753357753357756,0.16274797942689198,-0.006797329730282242,0.0994364445005762,-0.05150585416110703,-0.04403880207978457
2016-02-02,12671,2538,2023,8077,8873,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,136.5500030517578,0.06282061400047352,-796,-1.7919750681729647,515,3.2489287105570703,0.033628318584070796,0.1935978951984214,0.0994364445005762,-0.031856506820192476,-0.05099303426761243,-0.007802642523429318
2016-02-09,12806,2592,1576,8231,9401,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,132.1999969482422,0.09136342339528346,-1170,-2.9516218135900876,1016,3.95391050430116,0.03867967332123412,0.12020153550863724,-0.031856506820192476,0.029500826363863863,-0.05001663593957681,0.0020307156799826438
2016-02-16,12275,2760,1324,7418,9285,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,136.10000610351562,0.15209775967413441,-1867,-5.442761205684835,1436,3.2797126347024834,0.05561875112255284,0.10284035259549461,0.029500826363863863,-0.06980166938544419,-0.04748718655938237,0.022319905876999065
2016-02-23,11608,2485,1544,7550,8734,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,126.5999984741211,0.1019986216402481,-1184,5.564154786150713,941,-4.032586558044807,0.04194301154507492,0.12285927029039465,-0.06980166938544419,-0.026066314866803553,-0.042580996286949564,0.006796624198098967
