,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-08-04,378627,113792,91927,174638,192337,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,29.829999923706055,0.046745213627131715,-17699,3.093117925619461,21865,-2.22125910346643,0.03169970706451393,0.06491379017008637,-0.02707110005990787,0.0083808246945829,0.15036948807725134,-0.012563788219158961
2015-08-11,379351,117479,92862,171765,190993,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.079999923706055,0.05068656732155708,-19228,-0.40382751362158537,24617,0.7268367020841091,0.011624829776324713,0.021973842474838478,0.0083808246945829,-0.05851064605538048,0.14725439680363592,-0.01779021384586256
2015-08-18,388244,120847,106129,176579,188410,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,28.31999969482422,0.0304731045425042,-11831,1.9499091870062288,14718,-2.609456677325221,0.020266364191797562,0.07328968701536727,-0.05851064605538048,-0.052966102265676995,0.1437155697654198,-0.029679985927447004
2015-08-25,407744,115342,99784,187261,199247,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,26.81999969482422,0.029395895463820435,-11986,-0.03992334717342702,15558,0.21635878468179806,0.05567543233257785,0.05508399728531187,-0.052966102265676995,0.01491422904853601,0.14035322640360806,-0.033083013584850884
2015-09-01,397746,113496,102391,179792,187867,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,27.219999313354492,0.020301901213337154,-8075,0.9591802699733165,11105,-1.092106812117407,0.05126761482787039,0.02062653147248329,0.01491422904853601,-0.013592907465770576,0.1369231885410289,-0.022292055470201144
2015-09-08,410396,115504,102935,181573,195093,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,26.850000381469727,0.03294379087515473,-13520,-1.36896411277549,12569,0.3680740975396358,0.023912431703418943,0.011682895453650676,-0.013592907465770576,-0.014152739765973643,0.13403487193919905,-0.027925159747491515
2015-09-15,416427,117922,110633,186851,193750,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,26.469999313354492,0.016567129412838263,-6899,1.6133198179319488,7289,-1.2865622471953917,0.017396170793035227,0.04426068123646387,-0.014152739765973643,-0.01284473598064495,0.13086006808713524,-0.01658617334911618
2015-09-22,424914,118696,112649,191257,197154,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,26.1299991607666,0.013878102392484127,-5897,0.24061840370581156,6047,-0.29825155429402994,0.02010756646953871,0.012059910523244505,-0.01284473598064495,0.05089934812179431,0.12778159530569705,-0.006439729158967395
2015-09-29,406683,111404,93864,181238,202102,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,27.459999084472656,0.051302857508182045,-20864,-3.522359818692724,17540,2.704782614835002,0.0390436688057599,0.12703879805912272,0.05089934812179431,0.038237479221290505,0.12582060202883769,0.0025739258363324906
2015-10-06,407003,114982,80382,180600,220880,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,28.510000228881836,0.09896732947914388,-40280,-4.774234477467709,34600,4.19491348298306,0.04836106406296702,0.08732417436170431,0.038237479221290505,0.0031567924189883634,0.12514927021509534,0.01541540760359329
2015-10-13,419797,113994,73074,188687,236803,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,28.600000381469727,0.11461730312508188,-48116,-1.9252929339587177,40920,1.5528141070213242,0.05642905826223883,0.044347509996364956,0.0031567924189883634,0.002097883396577016,0.12489239296899747,0.019667540667839958
2015-10-20,423552,118408,72023,185465,237043,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,28.65999984741211,0.1217748942278634,-51578,-0.8246843117030374,46385,1.301819689040179,0.008193927688943168,0.028698058614406267,0.002097883396577016,-0.02686672930436862,0.12481816680849428,0.023323750066547237
2015-10-27,430285,119283,73128,181558,232251,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,27.88999938964844,0.117812612570738,-50693,0.20894718948322755,46155,-0.054302659413720165,0.021021775746781726,0.010290471958463913,-0.02686672930436862,0.009322346166071638,0.12465524694249995,0.00414774264346016
2015-11-03,446311,113634,73513,193719,238519,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,28.149999618530273,0.10037843566481669,-44800,1.3695573863834436,40121,-1.4023263650836073,0.042636232816179974,0.03224203433664446,0.009322346166071638,-0.0312610718540588,0.1241035012316435,-0.003077156424035263
2015-11-10,457536,118966,87078,198869,230665,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,27.270000457763672,0.06949398517275143,-31796,2.913663342377849,31888,-1.844677814349187,0.030274669758389324,0.09171342043447031,-0.0312610718540588,0.007334024651029392,0.12288995643033479,-0.011745603218606612
2015-11-17,455359,123129,90500,197052,229543,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,27.469999313354492,0.07135249330747828,-32491,-0.1519006154706952,32629,0.1619544691565254,0.0068894384603663894,0.03550547912502516,0.007334024651029392,0.03057881956988351,0.1217695767972292,-0.010421978222489183
2015-11-24,441817,117538,74823,188473,236490,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,28.309999465942383,0.10868074338470453,-48017,-3.4096174666581756,42715,2.2149556723376502,0.036534945395246175,0.11056295194971953,0.03057881956988351,0.0519251588991223,0.12149109097994144,0.003985576660356071
