,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZM_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-12-22,406089,85509,105563,210829,205180,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,276.8999938964844,-0.013910743703966373,5649,-0.2166372687130799,-20054,-0.31986551915996825,0.03977077418998147,0.00707063305978898,0.018763820208116844,-0.03033583994813882,0.16414850397684908,-0.005954315685971425
2015-12-29,400372,81506,112246,211906,192945,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,268.5,-0.047358456635329144,18961,3.278099135903706,-30740,-2.6314428610477014,0.03288123284862826,0.055152979066022546,-0.03033583994813882,-0.011918108778514847,0.16008106242661488,-0.015310935777985554
2016-01-05,405616,84465,122809,213488,185294,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,265.29998779296875,-0.0695090923434973,28194,2.306105322050493,-38344,-1.8992337126472378,0.023153000887703057,0.06523731871821839,-0.011918108778514847,0.03543168053742218,0.15370373350466185,-0.010263432675694165
2016-01-12,407669,86270,124120,210736,185466,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,274.70001220703125,-0.06198656262801439,25270,-0.720878860794446,-37850,0.12179006745296043,0.007380073800738007,0.014810589856932364,0.03543168053742218,-0.012377227022108861,0.1484315768163687,0.002980940583272385
2016-01-19,414457,82838,124204,216108,185704,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,271.29998779296875,-0.07335863551586776,30404,1.2593550159565725,-41366,-0.8624644012667139,0.013961753257742427,0.016982061610687688,-0.012377227022108861,-0.0051603168428917545,0.14368021409641904,-0.004811430191397183
2016-01-26,414945,81545,112003,211024,192227,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,269.8999938964844,-0.045299979515357455,18797,-2.8005317801364193,-30458,2.6318773720796123,0.02878356160307104,0.06971913943827887,-0.0051603168428917545,0.017413902605843967,0.13932065557027148,0.0014928920553836315
2016-02-02,409219,76115,102510,208424,195068,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,274.6000061035156,-0.03263778074820573,13356,-1.3112581185458314,-26395,0.9791659135548084,0.01348477788902878,0.08354373687893632,0.017413902605843967,-0.04187909593732808,0.1352760397582055,0.008788279516698862
2016-02-09,422098,79637,117999,216819,186335,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,263.1000061035156,-0.07222019531009387,30484,4.185533907272145,-38362,-2.9243510198695564,0.04248500572982036,0.09619198931368779,-0.04187909593732808,0.00646135176745033,0.1312850801242757,-0.01055620550026229
2016-02-16,427548,80113,116559,221218,194770,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,264.79998779296875,-0.061859721013780906,26448,-0.9561760539021743,-36446,0.45392302261560113,0.03085185149571622,0.009742108688577937,0.00646135176745033,-0.006042204152926223,0.12697397776991048,-0.0058078726904137986
2016-02-23,413798,70898,117473,222118,182856,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,263.20001220703125,-0.0948820438958139,39262,2.9970903851731268,-46575,-2.3690907219774155,0.03164153748141856,0.05377154657564062,-0.006042204152926223,-0.019376921987009577,0.12140258552959718,-0.0060296533073507545
