,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-03-24,1748067,513586,306699,595063,796768,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",47.5099983215332,0.11538745368455557,-201705,2.8073158666250926,206887,-2.0787506936079025,0.035513650723399605,0.0446198577323735,0.09318912384670353,0.0018943413127232578,,-0.006473450862107646
2015-03-31,1740134,516028,289333,578627,804973,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",47.599998474121094,0.1300738908612785,-226346,-1.4096141623862242,226695,1.133137345422115,0.017809337958947673,0.024595181539707037,0.0018943413127232578,0.13403364018139374,,-0.012345443332691703
2015-04-07,1743733,520929,268886,566266,810094,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",53.97999954223633,0.1398310406467045,-243828,-1.0046352752144374,252043,1.4566694289060498,0.012701618762533059,0.03209359153725873,0.13403364018139374,-0.012782486709157936,,0.031764223147505544
2015-04-14,1774773,527985,245825,610009,889504,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",53.290000915527344,0.1574821117968326,-279495,-2.045439296039015,282160,1.727156623175681,0.08212866443972143,0.03892040681821119,-0.012782486709157936,0.03696748681105477,,0.052671815715288964
2015-04-21,1723025,519353,196261,578434,903278,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",55.2599983215332,0.18853121690050928,-324844,-2.5552000171289513,323092,2.3063231185058597,0.03060581273553835,0.08132317143040801,0.03696748681105477,0.03257334611710272,,0.03924787182198469
2015-04-28,1717417,521704,206860,574587,895204,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",57.060001373291016,0.18668558655236323,-320617,0.24532435687236112,314844,-0.4786929963291305,0.00811067696019366,0.017774691036065465,0.03257334611710272,0.05853487683495384,,0.04659537318644419
2015-05-05,1750082,530764,205058,597211,925721,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",60.400001525878906,0.18771120438928005,-328510,-0.45958552873297515,325706,0.6324614231721242,0.03489387576070369,0.014761722264351976,0.05853487683495384,0.005794676577468794,,0.028415727591726794
2015-05-12,1731678,512443,192231,604581,926687,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",60.75,0.18600802227665883,-322106,0.36592571090954595,320212,-0.31392814736680913,0.005443854374283273,0.0442019997899738,0.005794676577468794,-0.05744858729986502,,0.03291974656170895
2015-05-19,1621198,504615,161184,542015,892555,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",57.2599983215332,0.21622281794080675,-350540,-1.641991178498543,343431,1.340838192781799,0.06740556403661027,0.058388492623149026,-0.05744858729986502,0.013447441151497541,,0.009815250499945773
2015-05-26,1614397,502001,154010,534528,880746,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",58.029998779296875,0.21445654321706495,-346218,0.2665929763051768,347991,0.2812734780082384,0.013634109013519644,0.014920481516316038,0.013447441151497541,0.05566085835226109,,0.005069231523586676
