,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,LB_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-06-02,6065,2062,2921,1803,1074,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,265.3999938964844,-0.12019785655399835,729,-9.414466130884042,-859,8.266360505166476,0.19951338199513383,0.12362030905077263,-0.03910216449393744,0.09005272963874389,
2015-06-09,4762,1973,2060,1198,1308,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,289.29998779296875,0.023099538009239817,-110,-13.833470733718054,-87,12.728771640560593,0.3347964884277733,0.2355566575750062,0.09005272963874389,0.013135217666397914,
2015-06-16,4309,1973,1730,1046,1525,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,293.1000061035156,0.1111626827570202,-479,-7.748845023099538,243,6.9298614027719445,0.14352392065344224,0.08911693221712125,0.013135217666397914,-0.012964920612129949,
2015-06-23,4309,1926,1750,1212,1555,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,289.29998779296875,0.07960083546066372,-343,3.1561847296356462,176,-1.5548851241587376,0.07083483917600289,0.01822633297062024,-0.012964920612129949,-0.0034566195720534543,
2015-06-30,4004,1715,1564,1237,1308,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,288.29998779296875,0.017732267732267732,-71,6.3123694592712924,151,-0.5801810164771408,0.1068762278978389,0.12107349801768832,-0.0034566195720534543,-0.024627040882971074,-0.22688544896368043
2015-07-07,3813,1403,1615,1132,993,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,281.20001220703125,-0.036454235510097036,139,5.244755244755245,-212,-9.065934065934066,0.1976470588235294,0.12027833001988071,-0.024627040882971074,0.029160673305433482,-0.21983244105799216
2015-07-14,4080,1457,1698,1107,951,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,289.3999938964844,-0.03823529411764706,156,0.44584316810910046,-241,-0.7605559926567007,0.03255587949465501,0.043423137876386686,0.029160673305433482,-0.07912921347425972,-0.21334682866726556
2015-07-21,4371,1433,1852,1268,892,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,266.5,-0.08602150537634409,376,5.392156862745098,-419,-4.362745098039215,0.10185185185185185,0.05418569254185693,-0.07912921347425972,-0.0390243673414048,-0.20895630027792345
2015-07-28,5024,1426,2362,1734,863,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,256.1000061035156,-0.17336783439490447,871,11.324639670555937,-936,-11.827956989247312,0.19060454370427415,0.13648363252375925,-0.0390243673414048,0.010152307854552234,-0.2077700180818228
2015-08-04,5962,1461,2968,2154,810,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,258.70001220703125,-0.22542770882254276,1344,9.414808917197453,-1507,-11.365445859872612,0.1595816464237517,0.14472792955520433,0.010152307854552234,-0.03324316079518885,-0.2083396210089428
2015-08-11,6076,1524,3131,2434,751,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,250.1000061035156,-0.2769914417379855,1683,5.6860114055686015,-1607,-1.677289500167729,0.10643642072213501,0.04854994629430719,-0.03324316079518885,0.0019992002710829126,-0.2104849904067254
2015-08-18,6261,1716,3481,2418,710,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,250.6000061035156,-0.2727998722248842,1708,0.4114549045424622,-1765,-2.600394996708361,0.018222506393861894,0.10429093707908409,0.0019992002710829126,-0.02194732588205972,-0.21237332015879082
