,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HE_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-05-19,219467,73865,66975,81247,78155,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,82.1500015258789,-0.014088678480135966,3092,-0.4274575327206906,6890,0.8266035459017915,0.04658034403583393,0.01264555523998864,0.010455085390094876,0.012477194240294809,,0.03459064641331632
2015-05-26,221409,71994,67907,85279,79117,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,83.17500305175781,-0.027830846984539925,6162,1.398843561902245,4087,-1.2771851804599326,0.03037786807464902,0.020035596600453176,0.012477194240294809,0.015629640813530576,,0.030343126372349195
2015-06-02,226296,69979,69913,92382,82593,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,84.4749984741211,-0.04325750344681303,9789,1.6381447908621602,66,-1.8160960033241649,0.06046006572367481,0.02874360220741715,0.015629640813530576,-0.03876888529192701,,0.016777439144040344
2015-06-09,225092,72748,72309,90921,79461,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,81.19999694824219,-0.050912515771329055,11460,0.7384134054512673,439,0.16482836638738643,0.02695707293023911,0.03560669254155263,-0.03876888529192701,-0.049876792790334634,,-5.174255062437256e-05
2015-06-16,218103,68188,71903,89443,75171,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,77.1500015258789,-0.06543697243962715,14272,1.2492669663959626,-3715,-1.8454676310130969,0.0350395470616108,0.0354483871198007,-0.049876792790334634,-0.03629297467762971,,-0.015250409352807635
2015-06-23,219163,74369,79482,87217,70457,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,74.3499984741211,-0.07647276228195453,16760,1.1407454276190607,-5113,-0.6409815545865943,0.04401486611616373,0.08943718272874404,-0.03629297467762971,0.024882293370389608,,-0.027707587373816248
2015-06-30,220415,73695,82422,89729,72026,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,76.19999694824219,-0.0803166753623846,17703,0.43027335818546014,-8727,-1.6490009718793774,0.02522951377082625,0.023149304688150553,0.024882293370389608,0.040026288371500574,-0.013640480317890172,-0.025332259214221636
2015-07-07,225310,72538,84449,93211,72581,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,79.25,-0.09156273578625006,20630,1.3279495497130414,-11911,-1.4445477848603772,0.02434978768577495,0.0202819341728933,0.040026288371500574,0.008517388665713721,-0.01652648977968128,-0.0053294728765821845
2015-07-14,216904,73632,80315,85589,68722,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,79.92500305175781,-0.07776251244790322,16867,-1.6701433580400338,-6683,2.320358617016555,0.07440169527771838,0.03395973939082931,0.008517388665713721,-0.050672541721832776,-0.018713490589260636,0.00924042440692104
2015-07-21,200599,70136,75513,78857,62461,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,75.875,-0.0817352030668149,16396,-0.21714675616862758,-5377,0.6021096890790395,0.0919415785674861,0.05697258477572795,-0.050672541721832776,0.04744643787968483,-0.020886653088486647,0.005672239560719543
2015-07-28,204588,73312,75494,75533,63447,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,79.4749984741211,-0.05907482354781317,12086,-2.1485650476821916,-2182,1.5927297743258941,0.03101165635343215,0.02147090843111165,0.04744643787968483,0.024221492151203172,-0.02215959210379753,0.011265696369395891
2015-08-04,208399,75853,74630,77908,68017,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,81.4000015258789,-0.047461840028023165,9891,-1.0728879504174242,1223,1.6643204880051616,0.04759294157957855,0.02262714060724467,0.024221492151203172,-0.05743246884671771,-0.022975793649740294,0.007351108516121276
2015-08-11,203456,74100,77180,76115,62712,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,76.7249984741211,-0.06587665146272413,13403,1.6852288158772357,-3080,-2.064789178450952,0.05112838280737897,0.028443945002644102,-0.05743246884671771,-0.13815573391893143,-0.024316445456396038,-0.009151013228392697
2015-08-18,194978,69400,69955,76421,64265,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,66.125,-0.0623454953892234,12156,-0.6129089336269267,-555,1.2410545769109782,0.013213823692478284,0.08557281762405368,-0.13815573391893143,0.020793950850661602,-0.025468840908905954,-0.03147009783304357
2015-08-25,189941,68187,68075,74636,65346,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,67.5,-0.04890992466081573,9290,-1.4699094256787946,112,0.3420898768066141,0.02047406095069366,0.02269891826041009,0.020793950850661602,0.007037014431423572,-0.026158284548668007,-0.03836999265718294
